ev_id,ev_type,ev_year,ev_time,ev_highest_injury,ev_nr_apt_loc,latitude,longitude,mid_air,on_ground_collision,light_cond,wx_cond_basic,sky_cond_ceil,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,wx_int_precip,altimeter
20230627192468,ACC,2023.0,1615,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,91.0,77.0,140.0,14.0,0.0,UNKNOWN,0.0
20230627192469,ACC,2023.0,1600,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,55.0,54.0,280.0,5.0,0.0,UNKNOWN,0.0
20230627192470,ACC,2023.0,1359,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,50.0,48.0,0.0,7.0,0.0,UNKNOWN,0.0
20230627192471,ACC,2023.0,1114,MINR,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230627192472,ACC,2023.0,1622,SERS,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230627192473,ACC,2023.0,1800,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230627192474,ACC,2023.0,1512,SERS,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,OVC,6000.0,416.0,81.0,63.0,0.0,7.0,0.0,UNKNOWN,0.0
20230628192479,ACC,2023.0,2355,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,9500.0,416.0,75.0,63.0,130.0,5.0,0.0,UNKNOWN,0.0
20230628192480,ACC,2023.0,810,MINR,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20230628192481,ACC,2023.0,1945,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,79.0,50.0,90.0,7.0,0.0,UNKNOWN,0.0
