ev_id,Aircraft_Key,crew_no,crew_category,crew_age,med_certf,med_crtf_vldty,date_lst_med,crew_rat_endorse,crew_tox_perf,pc_profession,bfr,bfr_date,ft_as_of,pilot_flying
20080220X00221,1,1,PLT,71.0,CL2,4.0,2007/7/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2006/3/1 00:00:00,0.0,
20080221X00222,1,1,PLT,55.0,CL3,4.0,2006/6/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2008-01-01,0.0,
20080221X00223,1,1,PLT,57.0,CL3,4.0,2007/8/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2007/10/26 00:00:00,0.0,
20080221X00224,1,1,PLT,47.0,CL1,4.0,2007/4/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008/1/1 00:00:00,0.0,
20080222X00227,1,1,PLT,55.0,CL2,4.0,2007/12/11 00:00:00,UNKNOWN,Y,YES,UNKNOWN,2007/9/11 00:00:00,0.0,
20080222X00228,1,1,PLT,62.0,CL2,4.0,2007/6/19 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2007/12/31 00:00:00,0.0,
20080222X00229,1,1,PLT,53.0,CL1,4.0,2007/12/18 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/1/4 00:00:00,0.0,
20080222X00229,1,2,CPLT,23.0,CL1,4.0,2007/2/2 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/7/13 00:00:00,0.0,
20080222X00229,1,3,UNKNOWN,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080222X00230,1,1,PLT,54.0,CL3,4.0,2006/5/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2006/8/1 00:00:00,0.0,
20080222X00231,1,1,PLT,28.0,CL1,4.0,2007/10/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/9/1 00:00:00,0.0,
20080222X00232,1,1,PLT,54.0,CL1,4.0,2007/9/11 00:00:00,UNKNOWN,Y,YES,UNKNOWN,2007/12/23 00:00:00,0.0,
20080225X00233,1,1,PLT,58.0,CL3,4.0,2007/9/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080225X00234,1,1,FLTI,26.0,CL1,4.0,2007/9/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/10/1 00:00:00,0.0,
20080225X00234,1,2,DSTU,61.0,CL3,4.0,2007/4/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2006/5/1 00:00:00,0.0,
20080226X00235,1,1,PLT,76.0,CL2,4.0,2007/5/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080226X00236,1,1,PLT,52.0,CL2,4.0,2007/12/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008-01-01,0.0,
20080227X00237,1,1,PLT,35.0,CL2,4.0,2007/3/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008-01-01,0.0,
20080227X00238,1,1,PLT,67.0,CL2,4.0,2007/5/23 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008-01-01,0.0,
20080227X00239,1,1,PLT,81.0,CL2,4.0,2008/1/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/9/1 00:00:00,0.0,
